City,Date,Latitude,Longitude,Temperature C,Cloud Cover %,Precipitation mm,Humidity %,Wind Speed km,Snow Depth mm,Snow mm,Conditions
NASHVILLE,2016-02-20,36.168,-86.778,17.4,95.6,0.0,66.8,25.1,0.0,0.0,Overcast
NASHVILLE,2016-02-21,36.168,-86.778,17.1,99.5,0.57,77.6,20.3,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-02-22,36.168,-86.778,10.8,92.6,0.92,67.6,17.6,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-02-23,36.168,-86.778,11.0,98.2,20.67,84.9,23.1,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-02-24,36.168,-86.778,8.0,97.5,6.18,80.3,32.2,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-02-25,36.168,-86.778,4.0,98.7,0.81,69.6,21.5,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-02-26,36.168,-86.778,4.9,52.8,0.0,55.6,16.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-02-27,36.168,-86.778,7.8,4.5,0.0,54.0,20.0,0.0,0.0,Clear
NASHVILLE,2016-02-28,36.168,-86.778,13.8,18.9,0.0,36.8,34.5,0.0,0.0,Clear
NASHVILLE,2016-02-29,36.168,-86.778,14.1,38.5,0.0,41.5,19.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-01,36.168,-86.778,9.8,73.2,11.76,70.5,26.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-02,36.168,-86.778,3.7,62.5,2.06,53.8,18.7,0.0,0.0,"Snow, Rain, Partially cloudy"
NASHVILLE,2016-03-03,36.168,-86.778,4.3,91.2,6.56,79.5,12.8,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-03-04,36.168,-86.778,6.3,81.4,0.0,80.4,14.3,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-05,36.168,-86.778,8.2,47.7,0.0,66.1,22.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-06,36.168,-86.778,9.4,46.8,0.0,56.9,12.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-07,36.168,-86.778,15.7,79.6,0.0,37.8,30.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-08,36.168,-86.778,17.4,60.6,0.0,48.3,27.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-09,36.168,-86.778,20.9,86.7,0.27,51.1,37.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-10,36.168,-86.778,19.5,92.9,15.04,72.5,32.3,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-03-11,36.168,-86.778,15.0,99.9,1.82,89.9,14.5,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-03-12,36.168,-86.778,18.3,85.6,8.55,83.8,22.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-13,36.168,-86.778,18.0,74.2,12.87,81.8,18.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-14,36.168,-86.778,17.2,58.6,0.48,68.7,24.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-15,36.168,-86.778,20.2,12.8,0.0,57.8,32.3,0.0,0.0,Clear
NASHVILLE,2016-03-16,36.168,-86.778,19.9,31.1,0.0,31.8,22.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-17,36.168,-86.778,14.1,40.8,0.0,41.0,9.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-18,36.168,-86.778,14.0,42.8,0.0,43.1,24.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-19,36.168,-86.778,11.0,91.4,0.0,50.1,26.2,0.0,0.0,Overcast
NASHVILLE,2016-03-20,36.168,-86.778,5.7,88.8,0.29,65.0,26.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-21,36.168,-86.778,7.3,16.9,0.0,54.7,16.9,0.0,0.0,Clear
NASHVILLE,2016-03-22,36.168,-86.778,12.0,32.5,0.0,40.9,36.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-23,36.168,-86.778,17.6,71.2,0.0,45.9,33.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-24,36.168,-86.778,17.1,86.9,17.75,72.2,33.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-25,36.168,-86.778,8.1,75.1,0.0,65.7,20.7,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-26,36.168,-86.778,12.5,23.0,0.0,61.4,14.1,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-27,36.168,-86.778,17.4,92.1,2.35,80.3,23.5,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-03-28,36.168,-86.778,11.5,55.1,1.6,57.3,26.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-03-29,36.168,-86.778,11.4,24.8,0.0,52.5,19.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-30,36.168,-86.778,16.3,62.8,0.0,48.1,34.3,0.0,0.0,Partially cloudy
NASHVILLE,2016-03-31,36.168,-86.778,18.5,86.4,16.4,70.3,36.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-01,36.168,-86.778,16.8,73.7,0.0,54.7,18.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-02,36.168,-86.778,12.4,42.7,0.03,44.5,32.1,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-03,36.168,-86.778,11.5,1.8,0.0,35.2,16.3,0.0,0.0,Clear
NASHVILLE,2016-04-04,36.168,-86.778,17.8,19.4,0.0,37.1,26.0,0.0,0.0,Clear
NASHVILLE,2016-04-05,36.168,-86.778,9.3,0.2,0.0,48.0,25.4,0.0,0.0,Clear
NASHVILLE,2016-04-06,36.168,-86.778,12.1,62.6,4.93,61.1,38.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-07,36.168,-86.778,12.3,56.9,1.06,61.5,30.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-08,36.168,-86.778,9.7,56.4,0.03,61.5,25.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-09,36.168,-86.778,7.3,19.9,0.0,38.1,24.2,0.0,0.0,Clear
NASHVILLE,2016-04-10,36.168,-86.778,11.4,61.1,1.0,49.1,34.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-11,36.168,-86.778,16.4,81.4,0.33,61.7,50.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-12,36.168,-86.778,12.4,40.5,0.36,52.9,28.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-13,36.168,-86.778,13.4,59.0,0.0,49.9,14.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-14,36.168,-86.778,17.6,89.3,0.32,66.7,15.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-15,36.168,-86.778,18.7,50.7,0.0,47.4,22.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-16,36.168,-86.778,18.7,18.3,0.0,43.7,19.2,0.0,0.0,Clear
NASHVILLE,2016-04-17,36.168,-86.778,19.3,2.1,0.0,45.3,13.8,0.0,0.0,Clear
NASHVILLE,2016-04-18,36.168,-86.778,19.8,51.8,0.0,46.9,9.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-19,36.168,-86.778,19.2,81.3,0.0,53.3,9.1,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-20,36.168,-86.778,22.3,70.7,0.0,45.5,19.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-21,36.168,-86.778,19.4,89.6,4.84,63.6,31.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-22,36.168,-86.778,19.2,54.7,0.21,66.0,22.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-23,36.168,-86.778,17.7,24.0,0.0,64.3,19.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-24,36.168,-86.778,18.9,9.1,0.0,58.2,21.1,0.0,0.0,Clear
NASHVILLE,2016-04-25,36.168,-86.778,21.8,60.1,0.0,52.2,25.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-04-26,36.168,-86.778,23.2,55.6,0.02,57.7,19.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-27,36.168,-86.778,22.2,77.2,10.08,73.1,24.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-28,36.168,-86.778,22.8,56.4,0.07,63.9,20.1,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-29,36.168,-86.778,19.7,63.6,0.01,67.1,18.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-04-30,36.168,-86.778,19.9,91.1,4.25,83.6,12.2,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-05-01,36.168,-86.778,21.9,61.1,0.09,76.7,20.2,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-02,36.168,-86.778,17.1,83.6,6.79,83.2,16.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-03,36.168,-86.778,15.7,93.2,0.0,67.3,17.8,0.0,0.0,Overcast
NASHVILLE,2016-05-04,36.168,-86.778,14.5,38.2,2.02,66.8,32.7,0.0,0.0,"Rain, Partially cloudy"
